,Screen_Size,Screen_Tech,Screen_Body_Ratio,CPU_Model,CPU_Freq,GPU_Model,RAM,Operating_System,CPU_Tickness,GPU_Freq,RAM_Type,Camera_Resolution,Selfie_Camera_Resolution,Width,Height,Tickness,Weight,Charge_Type,Battery_Size,Storage_Capacity,Release_Year,PRICE
248,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,"259,00 TL"
249,6.1 inç,OLED,81.15 %,HiSilicon Kirin 970,2.36 GHz,Mali-G72 MP12,6 GB RAM,Android 8.1 (Oreo),10 nm,767 MHz,LPDDR4x,40 MP,24 MP,73.9 mm,6.1 inç,7.8 mm,180 gr,USB Type-C,4000 mAh,128 GB,2018,"8.819,02 TL"
250,6.22 inç,IPS LCD,81.6 %,Mediatek MT6762D Helio P22,1.8 GHz,PowerVR GE8320,3 GB RAM,Android 10.0,12 nm,600 MHz,LPDDR4x,13 MP,5 MP,74.6 mm,6.22 inç,8.5 mm,165 gr,Micro-USB,4000 mAh,32 GB,2020,"1.812,02 TL"
251,6.5 inç,IPS LCD,82.9 %,Mediatek Helio G80,2.0 GHz,Mali-G52 MC2,4 GB RAM,Android 10.0,12 nm,950 MHz,LPDDR4x,48 MP,16 MP,75.4 mm,6.5 inç,9 mm,199 gr,USB Type-C,5000 mAh,128 GB,2020,"4.349,00 TL"
252,5.4 inç,OLED,85.1 %,Apple A15 Bionic,Missing,Apple Quad-Core,4 GB RAM,iOS 15,5 nm,Missing,LPDDR5,12 MP,12 MP,64.2 mm,5.4 inç,7.7 mm,141 gr,Lightning,2425 mAh,512 GB,2021,"15.985,00 TL"
253,6.1 inç,IPS LCD,79.15 %,MediaTek MT6763 (Helio P23),2.0 GHz,Mali-G71 MP2,3 GB RAM,Android 9.0 (Pie),16 nm,770 MHz,Missing,13 MP,8 Mp,74 mm,6.1 inç,8.45 mm,160 gr,USB Type-C,3400 mAh,32 GB,2019,"1.812,02 TL"
254,6.53 inç,IPS LCD,81.3 %,MediaTek MT6762 Helio P22,2.0 GHz,PowerVR GE8320,4 GB RAM,Android 10.0,12 nm,650 MHz,Missing,48 MP,13 MP,77.3 mm,6.53 inç,8.5 mm,193 gr,USB Type-C,4000 mAh,64 GB,2020,"1.999,00 TL"
255,6.1 inç,OLED,81.15 %,HiSilicon Kirin 970,2.36 GHz,Mali-G72 MP12,6 GB RAM,Android 8.1 (Oreo),10 nm,767 MHz,LPDDR4x,40 MP,24 MP,73.9 mm,6.1 inç,7.8 mm,180 gr,USB Type-C,4000 mAh,128 GB,2018,"8.679,00 TL"
256,6.7 inç,Super AMOLED,Missing,Qualcomm SM8150 Snapdragon 855,2.84 GHz,Adreno 640,8 GB RAM,Android 9.0 (Pie),7 nm,585 MHz,LPDDR4x,48 MP,32 MP,Missing,6.7 inç,Missing,Missing,USB Type-C,4370 mAh,128 GB,2019,"7.899,00 TL"
257,6.51 inç,IPS LCD,81.8 %,Mediatek MT6769V/CU Helio G80 ,2.0 GHz,Mali-G52 MC2,4 GB RAM,Android 11,12 nm,950 MHz,LPDDR4x,50 MP,8 Mp,76.1 mm,6.51 inç,8 mm,182 gr,USB Type-C,5000 mAh,128 GB,2021,"3.132,57 TL"
258,6.67 inç,Super AMOLED,87.2 %,Qualcomm SM8250 Snapdragon 865,2.84 GHz,Adreno 650,6 GB RAM,Android 10.0,7 nm+,587 MHz,LPDDR4x,64 MP,20 MP,75.4 mm,6.67 inç,8.9 mm,219 gr,USB Type-C,4700 mAh,128 GB,2020,"5.775,00 TL"
259,5.4 inç,OLED,85.1 %,Apple A14 Bionic,3.1 GHz,Apple GPU (4-core graphics),4 GB RAM,İOS 14.1,5 nm,Missing,Missing,12 MP,12 MP,64.2 mm,5.4 inç,7.4 mm,135 gr,Lightning,2227 mAh,128 GB,2021,"12.236,77 TL"
260,6.82 inç,IPS LCD,82.4 %,MediaTek Helio A22 (MT6761),2.0 GHz,PowerVR GE8320,4 GB RAM,Android 9.0 (Pie),12 nm,Missing,LPDDR4x,13 MP,8 Mp,78 mm,6.82 inç,8.9 mm,209 gr,Micro-USB,6000 mAh,64 GB,2020,"1.939,00 TL"
261,6.1 inç,OLED,86.0 %,Apple A14 Bionic,Missing,Apple Quad-Core,6 GB RAM,iOS 14,5 nm,Missing,Missing,12 MP,12 MP,71.5 mm,6.1 inç,7.4 mm,189 gr,Lightning,2815 mAh,512 GB,2020,"22.599,00 TL"
262,6.1 inç,OLED,86.0 %,Apple A15 Bionic,3.22 GHz,5x Apple GPU,6 GB RAM,iOS 15,5 nm,Missing,LPDDR5,12 MP,12 MP,71.5 mm,6.1 inç,7.7 mm,204 gr,Lightning,3125 mAh,512 GB,2021,"27.799,00 TL"
263,6.44 inç,AMOLED,83.5 %,Qualcomm SM7125 Snapdragon 720G,2.3 GHz,Adreno 618,8 GB RAM,Android 11,8 nm,750 MHz,Missing,64 MP,44 MP,74.4 mm,6.44 inç,7.4 mm,171 gr,USB Type-C,4000 mAh,128 GB,2021,"6.499,00 TL"
264,6.82 inç,IPS LCD,83.1 %,Mediatek Helio G70,2.0 GHz,Mali-G52 2EEMC2,4 GB RAM,Android 11,12 nm,Missing,Missing,48 MP,8 Mp,77.5 mm,6.82 inç,9.2 mm,Missing,Micro-USB,5000 mAh,128 GB,2021,"2.762,62 TL"
265,6.21 inç,IPS LCD,83.1 %,HiSilicon Kirin 710,2.2 GHz,Mali-G51 MP4,3 GB RAM,Android 9.0 (Pie),12 nm,1000 MHz,Missing,13 MP,16 MP,73.4 mm,6.21 inç,8 mm,160 gr,Micro-USB,3400 mAh,64 GB,2018,"3.135,02 TL"
266,6.2 inç,IPS LCD,85.46 %,MediaTek MT6762 Helio P22,2.0 GHz,PowerVR GE8320,3 GB RAM,Android 9.0 (Pie),12 nm,520 MHz,Missing,13 MP,8 Mp,71.8 mm,6.2 inç,8.11 mm,163 gr,USB Type-C,4050 mAh,64 GB,2019,"2.298,10 TL"
267,6.1 inç,OLED,86.0 %,Apple A14 Bionic,Missing,Apple Quad-Core,4 GB RAM,iOS 14,5 nm,Missing,Missing,12 MP,12 MP,71.5 mm,6.1 inç,7.4 mm,164 gr,Lightning,2775 mAh,256 GB,2020,"15.199,00 TL"
268,5.45 İnç,IPS LCD,73.8 %,MediaTek MT6739,1.5 GHz,PowerVR GE8100,1 GB RAM,Android 8.1 (Oreo GO Edition),28 nm,570 MHz,LPDDR3,8 MP,5 MP,70.9 mm,5.45 İnç,8.3 mm,142 gr,Micro-USB,3020 mAh,16 GB,2018,"1.199,00 TL"
269,5.5 inç,IPS LCD,74.62 %,Qualcomm 215 (QM215),1.3 GHz,Adreno 308,2 GB RAM,Android 10 (Go edition),28 nm,485 MHz,LPDDR4x,8 MP,5 MP,71.6 mm,5.5 inç,9.9 mm,168 gr,Micro-USB,3000 mAh,32 GB,2020,"1.273,02 TL"
270,6.67 inç,AMOLED,89.6 %,Qualcomm SM7225 Snapdragon 750G 5G,2.0 GHz,Adreno 619,6 GB RAM,Android 11,8 nm,Missing,LPDDR4x,48 MP,32 MP,73 mm,6.67 inç,8.8 mm,190 gr,USB Type-C,4500 mAh,256 GB,2021,"8.499,00 TL"
271,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,"259,00 TL"
272,6.39 inç,OLED,86.42 %,HiSilicon Kirin 980,2.6 GHz,Mali-G76 MP10,6 GB RAM,Android 9.0 (Pie),7 nm,720 MHz,LPDDR4x,40 MP,24 MP,72.3 mm,6.39 inç,8.6 mm,189 gr,USB Type-C,4200 mAh,128 GB,2018,"8.099,00 TL"
273,6.2 inç,IPS LCD,81.06 %,MediaTek MT6765 (Helio P35),2.3 GHz,PowerVR GE8320,3 GB RAM,Android 8.1 (Oreo),12 nm,680 MHz,LPDDR3,13 MP,8 Mp,75.4 mm,6.2 inç,8.2 mm,170 gr,Micro-USB,4230 mAh,32 GB,2019,"2.299,01 TL"
274,6.5 inç,IPS LCD,81.75 %,Qualcomm Snapdragon 665 (SM6125),2.0 GHz,Adreno 610,3 GB RAM,Android 9.0 (Pie),11 nm,Missing,LPDDR4x,12 MP,8 Mp,75.6 mm,6.5 inç,9.1 mm,195 gr,USB Type-C,5000 mAh,64 GB,2019,"4.116,00 TL"
275,5.4 inç,OLED,85.1 %,Apple A15 Bionic,Missing,Apple Quad-Core,4 GB RAM,iOS 15,5 nm,Missing,LPDDR5,12 MP,12 MP,64.2 mm,5.4 inç,7.7 mm,141 gr,Lightning,2425 mAh,256 GB,2021,"16.600,00 TL"
276,5.0 inç,IPS LCD,70.73 %,Qualcomm MSM8939 Snapdragon 615,1.5 GHz,Adreno 405,2 GB RAM,Android 5.1 (Lollipop),28 nm,550 MHz,Missing,13 MP,8 Mp,69.6 mm,5.0 inç,8.9 mm,130 gr,Micro-USB,3050 mAh,16 GB,2017,"906,49 TL"
277,6.5 inç,IPS LCD,81.75 %,Qualcomm Snapdragon 665 (SM6125),2.0 GHz,Adreno 610,4 GB RAM,Android 9.0 (Pie),11 nm,Missing,LPDDR4x,48 MP,16 MP,75.6 mm,6.5 inç,9.1 mm,195 gr,USB Type-C,5000 mAh,128 GB,2019,"3.988,00 TL"
278,6.6 inç,IPS LCD,83.7 %,Mediatek Helio G80,2.0 GHz,Mali-G52 MC2,4 GB RAM,Android 11,12 nm,950 MHz,Missing,48 MP,8 Mp,76.2 mm,6.6 inç,8.8 mm,Missing,Micro-USB,5000 mAh,128 GB,2021,"3.398,00 TL"
279,6.52 inç,IPS LCD,83.2 %,Qualcomm SDM665 Snapdragon 665,2.0 GHz,Adreno 610,4 GB RAM,Android 9.0 (Pie),11 nm,Missing,LPDDR4x,12 MP,8 Mp,75 mm,6.52 inç,9.3 mm,195 gr,Micro-USB,5000 mAh,64 GB,2020,"2.875,00 TL"
280,5.3 inç,IPS LCD,69.16 %,MediaTek MT6750,1.5 GHz,Mali-T860 MP2,3 GB RAM,Android 7.0 (Nougat),28 nm,520 MHz,LPDDR3,13 MP,5 MP,75.3 mm,5.3 inç,7.9 mm,144 gr,Micro-USB,2800 mAh,16 GB,2017,"1.199,00 TL"
281,6.52 inç,IPS LCD,81.5 %,Mediatek MT6762 Helio A22,2.0 GHz,PowerVR GE8320,4 GB RAM,Android 9.0 (Pie),12 nm,650 MHz,Missing,13 MP,8 Mp,76.3 mm,6.52 inç,8.7 mm,179 gr,Micro-USB,5000 mAh,64 GB,2019,"2.499,00 TL"
282,6.67 inç,AMOLED,85.1 %,Qualcomm SM8350 Snapdragon 888 5G,2.84 GHz,Adreno 660,8 GB RAM,Android 11,5 nm,840 MHz,LPDDR5,108 MP,16 MP,76.9 mm,6.67 inç,8.8 mm,204 gr,USB Type-C,5000 mAh,256 GB,2021,"13.190,00 TL"
283,5.0 inç,IPS LCD,66.15 %,Qualcomm MSM8909 Snapdragon 212,1.3 GHz,Adreno 304,1 GB RAM,Android 8.1 (Oreo GO Edition),28 nm,Missing,Missing,8 MP,5 MP,72.45 mm,5.0 inç,8.8 mm,160 gr,Micro-USB,2350 mAh,8 GB,2018,"984,90 TL"
284,6.3 inç,IPS LCD,79.29 %,MediaTek MT6763T (Helio P23),2.0 GHz,Mali-G71 MP2,4 GB RAM,Android 9.0 (Pie),16 nm,770 MHz,Missing,16 MP,13 MP,75.8 mm,6.3 inç,8.3 mm,155 gr,USB Type-C,3950 mAh,64 GB,2019,"2.699,00 TL"
285,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,"1.312,22 TL"
286,6.5 inç,PLS IPS,81.8 %,Qualcomm SDM450 Snapdragon 450,1.8 GHz,Adreno 506,3 GB RAM,Android 10.0,14 nm,650 MHz,Missing,13 MP,5 MP,75.9 mm,6.5 inç,9.1 mm,196 gr,USB Type-C,5000 mAh,32 GB,2020,"2.547,00 TL"
287,6.21 inç,IPS LCD,82.61 %,Huawei Kirin 710F,2.2 GHz,Mali-G51 MP4,4 GB RAM,Android 9.0 (Pie),12 nm,1000 MHz,Missing,24 MP,32 MP,73.64 mm,6.21 inç,7.95 mm,164 gr,Micro-USB,3400 mAh,128 GB,2019,"3.425,59 TL"
288,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,"1.596,00 TL"
289,6.55 inç,IPS LCD,82.9 %,Mediatek MT6761 Helio A22,2.0 GHz,PowerVR GE8320,4 GB RAM,Android 9.0 (Pie),12 nm,650 MHz,Missing,16 MP,8 Mp,76.1 mm,6.55 inç,8.2 mm,181 gr,Micro-USB,4000 mAh,64 GB,2019,"1.999,00 TL"
290,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,"2.497,04 TL"
291,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,12 nm,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,"1.999,00 TL"
292,6.22 inç,IPS LCD,80.71 %,MediaTek MT6762 Helio P22,2.0 GHz,PowerVR GE8320,3 GB RAM,Android 9.0 (Pie),Missing,Missing,Missing,13 MP,13 MP,75.5 mm,6.22 inç,8.1 mm,165 gr,Micro-USB,3500 mAh,64 GB,2019,"2.139,00 TL"
293,6.09 inç,IPS LCD,79.2 %,Mediatek MT6765 Helio P35,2.3 GHz,PowerVR GE8320,3 GB RAM,Android 9.0 (Pie),12 nm,680 MHz,Missing,13 MP,8 Mp,73.5 mm,6.09 inç,8 mm,150 gr,Micro-USB,3020 mAh,32 GB,2020,"2.159,00 TL"
294,6.26 inç,IPS LCD,79.62 %,Qualcomm SDM450 Snapdragon 450,1.8 GHz,Adreno 506,3 GB RAM,Android 8.0 (Oreo),14 nm,650 MHz,LPDDR3,13 MP,16 MP,76.91 mm,6.26 inç,8.1 mm,168 gr,Micro-USB,4000 mAh,32 GB,2019,"2.254,00 TL"
295,6.5 inç,IPS LCD,81.3 %,MediaTek MT6762 Helio P22,2.0 GHz,PowerVR GE8320,4 GB RAM,Android 10.0,12 nm,650 MHz,Missing,48 MP,13 MP,77.3 mm,6.5 inç,8.5 mm,193 gr,USB Type-C,4000 mAh,64 GB,2020,"2.049,00 TL"
296,6.4 inç,Super AMOLED,84.5 %,Samsung Exynos 7 Series 7904,1.8 GHz,Mali-G71 MP2,3 GB RAM,Android 9.0 (Pie),14 nm,Missing,LPDDR4x,16 MP,16 MP,74.7 mm,6.4 inç,7.7 mm,165 gr,USB Type-C,4000 mAh,32 GB,2019,"3.282,02 TL"
297,6.52 inç,IPS LCD,81.0 %,UNISOC SC9863A,1.6 GHz,IMG8322,2 GB RAM,Android 11,28 nm,550 MHz,LPDDR4x,8 MP,8 Mp,76.7 mm,6.52 inç,9.7 mm,203 gr,Micro-USB,5500 mAh,32 GB,2021,"1.629,00 TL"
298,6.6 inç,IPS LCD,83.7 %,Mediatek Helio G80,2.0 GHz,Mali-G52 MC2,4 GB RAM,Android 11,8 nm,950 MHz,Missing,48 MP,8 Mp,76.2 mm,6.6 inç,8.8 mm,Missing,Micro-USB,5000 mAh,128 GB,2021,"3.399,00 TL"
299,6.67 inç,AMOLED,89.6 %,Qualcomm SM7225 Snapdragon 750G 5G,2.0 GHz,Adreno 619,6 GB RAM,Android 11,8 nm,Missing,LPDDR4x,48 MP,32 MP,73 mm,6.67 inç,8.8 mm,190 gr,USB Type-C,4500 mAh,256 GB,2021,"8.499,00 TL"
300,6.5 inç,IPS LCD,84.1 %,Mediatek MT6785 Helio G90T,2.05 GHz,Mali-G76 MC4,4 GB RAM,Android 10.0,12 nm,800 MHz,LPDDR4x,64 MP,16 MP,74.8 mm,6.5 inç,8.9 mm,191 gr,USB Type-C,4300 mAh,128 GB,2020,"4.065,02 TL"
301,Missing,Missing,84.35 %,Missing,Missing,Missing,Missing,Missing,12 nm,1000 MHz,Missing,16 MP,16 MP,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,"4.062,10 TL"
302,6.4 inç,Super AMOLED,84.5 %,Samsung Exynos 7 Series 7904,1.8 GHz,Mali-G71 MP2,3 GB RAM,Android 9.0 (Pie),14 nm,Missing,LPDDR4x,16 MP,16 MP,74.7 mm,6.4 inç,7.7 mm,165 gr,USB Type-C,4000 mAh,32 GB,2019,"3.599,00 TL"
303,6.5 inç,IPS LCD,89.8 %,MediaTek G35,2.3 GHz,Missing,4 GB RAM,Android 11,Missing,Missing,LPDDR4x,16 MP,8 Mp,Missing,6.5 inç,Missing,Missing,Micro-USB,5000 mAh,64 GB,2021,"2.289,00 TL"
304,6.51 inç,IPS LCD,81.8 %,Mediatek MT6769V/CU Helio G80 ,2.0 GHz,Mali-G52 MC2,4 GB RAM,Android 11,12 nm,950 MHz,LPDDR4x,50 MP,8 Mp,76.1 mm,6.51 inç,8 mm,182 gr,USB Type-C,5000 mAh,128 GB,2021,"3.132,67 TL"
305,6.09 inç,IPS LCD,79.2 %,Mediatek MT6765 Helio P35,2.3 GHz,PowerVR GE8320,3 GB RAM,Android 9.0 (Pie),12 nm,680 MHz,Missing,13 MP,8 Mp,73.5 mm,6.09 inç,8 mm,150 gr,Micro-USB,3020 mAh,32 GB,2020,"2.199,00 TL"
306,6.22 inç,IPS LCD,80.71 %,MediaTek MT6762 Helio P22,2.0 GHz,PowerVR GE8320,3 GB RAM,Android 9.0 (Pie),12 nm,650 MHz,Missing,13 MP,13 MP,75.5 mm,6.22 inç,8.1 mm,165 gr,Micro-USB,3500 mAh,64 GB,2019,"2.139,00 TL"
307,Missing,Missing,69.94 %,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,8 Mp,8 Mp,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,"1.861,02 TL"
308,6.5 inç,IPS LCD,81.7 %,MediaTek Helio G35,2.3 GHz,PowerVR GE8320,4 GB RAM,Android 10.0,12 nm,680 MHz,LPDDR4x,13 MP,8 Mp,75.9 mm,6.5 inç,9.8 mm,209 gr,Micro-USB,6000 mAh,64 GB,2020,"2.694,02 TL"
309,5.0 inç,IPS LCD,71.36 %,MediaTek MT6739,1.28 GHz,PowerVR GE8100,1 GB RAM,Android 8.1 (Oreo GO Edition),28 nm,570 MHz,Missing,5 MP,2 MP,65.7 mm,5.0 inç,10 mm,134 gr,Micro-USB,2000 mAh,8 GB,2018,"1.199,00 TL"
310,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,77 g,Missing,Missing,Missing,Missing,"225,00 TL"
311,6.2 inç,IPS LCD,80.86 %,MediaTek MT6765 (Helio P35),2.3 GHz,PowerVR GE8320,3 GB RAM,Android 8.1 (Oreo),12 nm,680 MHz,LPDDR3,13 MP,8 Mp,75.4 mm,6.2 inç,8.2 mm,170 gr,Micro-USB,4230 mAh,32 GB,2019,"2.358,99 TL"
312,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,4:3,Missing,Missing,"99,5 g",Missing,Missing,Missing,Missing,"307,00 TL"
313,6.0 inç,TFT LCD,81.2 %,Qualcomm MSM8917 Snapdragon 425,1.4 GHz,Adreno 308,1 GB RAM,Android 8.1 (Oreo GO Edition),28 nm,500 MHz,LPDDR3,8 MP,5 MP,76.1 mm,6.0 inç,7.9 mm,177 gr,Micro-USB,3300 mAh,16 GB,2018,"2.057,02 TL"
314,6.82 inç,IPS LCD,83.1 %,Mediatek Helio G70,2.0 GHz,Mali-G52 2EEMC2,4 GB RAM,Android 11,12 nm,Missing,Missing,48 MP,8 Mp,77.5 mm,6.82 inç,9.2 mm,Missing,Micro-USB,5000 mAh,128 GB,2021,"2.689,90 TL"
315,6.39 inç,AMOLED,84.62 %,Qualcomm SM8150 Snapdragon 855,2.84 GHz,Adreno 640,6 GB RAM,Android 9.0 (Pie),7 nm,585 MHz,LPDDR4x,48 MP,20 MP,74.67 mm,6.39 inç,7.61 mm,173 gr,USB Type-C,3300 mAh,128 GB,2019,"5.649,99 TL"
316,6.5 inç,OLED,83.39 %,Apple A12 Bionic,2.5 GHz,Apple G11P MP4,4 GB RAM,iOS 12,7 nm,Missing,LPDDR4x,12 MP,7 MP,77.4 mm,6.5 inç,7.7 mm,208 gr,Lightning,3174 mAh,64 GB,2018,"14.999,00 TL"
317,5.4 inç,OLED,85.1 %,Apple A14 Bionic,Missing,Apple Quad-Core,4 GB RAM,iOS 14,5 nm,Missing,Missing,12 MP,12 MP,64.2 mm,5.4 inç,7.4 mm,135 gr,Lightning,Missing,256 GB,2020,"14.784,20 TL"
318,6.1 inç,IPS LCD,80.3 %,MediaTek MT6762 Helio P22,2.0 GHz,PowerVR GE8320,2 GB RAM,Android 9.0 (Pie),12 nm,650 MHz,Missing,13 MP,5 MP,73.7 mm,6.1 inç,8.5 mm,166 gr,Micro-USB,4000 mAh,32 GB,2019,"1.799,00 TL"
319,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,"1.279,88 TL"
320,5.3 inç,IPS LCD,69.16 %,MediaTek MT6750,1.5 GHz,Mali-T860 MP2,3 GB RAM,Android 7.0 (Nougat),28 nm,520 MHz,LPDDR3,13 MP,5 MP,75.3 mm,5.3 inç,7.9 mm,144 gr,Micro-USB,2800 mAh,16 GB,2017,"1.199,00 TL"
321,6.53 inç,IPS LCD,84.81 %,MediaTek Helio P60,2.0 GHz,Mali-G72 MP3,6 GB RAM,Android 10 (Q),12 nm,800 MHz,Missing,48 MP,25 MP,76 mm,6.53 inç,8.8 mm,173 gr,USB Type-C,4500 mAh,128 GB,2021,"2.841,02 TL"
322,6.43 inç,Super AMOLED,83.5 %,Qualcomm SDM678 Snapdragon 678,2.2 GHz,Adreno 612,4 GB RAM,Android 11,11 nm,Missing,LPDDR4x,48 MP,13 MP,74.5 mm,6.43 inç,8.3 mm,178.8 gr,USB Type-C,5000 mAh,64 GB,2021,"3.554,00 TL"
323,6.53 inç,Missing,84.81 %,UNISOC SC9863A,1.6 GHz,PowerVR GE8322,4 GB RAM,Android 10 (Go edition),28 nm,550 MHz,Missing,16 MP,8 Mp,76 mm,6.53 inç,8.8 mm,178 gr,USB Type-C,3600 mAh,64 GB,2020,"2.224,00 TL"
324,5.45 İnç,IPS LCD,73.8 %,MediaTek MT6739,1.5 GHz,PowerVR GE8100,2 GB RAM,Android 8.1 (Oreo),28 nm,570 MHz,LPDDR3,13 MP,5 MP,70.9 mm,5.45 İnç,8.3 mm,142 gr,Micro-USB,3020 mAh,16 GB,2018,"1.399,00 TL"
325,6.44 inç,AMOLED,83.5 %,Qualcomm SM7125 Snapdragon 720G,2.3 GHz,Adreno 618,8 GB RAM,Android 11,8 nm,750 MHz,Missing,64 MP,44 MP,74.4 mm,6.44 inç,7.4 mm,171 gr,USB Type-C,4000 mAh,128 GB,2021,"6.499,00 TL"
326,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,"275,99 TL"
327,6.7 inç,Dynamic AMOLED,Missing,Exynos 2100,Missing,Missing,8 GB RAM,Android 11,5 nm,Missing,LPDDR5,12 MP,10 MP,Missing,6.7 inç,Missing,Missing,Missing,4800 mAh,128 GB,2020,"14.816,62 TL"
328,6.5 inç,IPS LCD,81.4 %,Missing,2.3 GHz,Missing,4 GB RAM,Android 10.0,Missing,Missing,Missing,48 MP,16 MP,77.5 mm,6.5 inç,8.4 mm,Missing,USB Type-C,4000 mAh,128 GB,2020,"2.899,00 TL"
329,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,"2.535,87 TL"
330,6.3 inç,IPS LCD,79.29 %,MediaTek MT6763T (Helio P23),2.0 GHz,Mali-G71 MP2,4 GB RAM,Android 9.0 (Pie),16 nm,770 MHz,Missing,16 MP,13 MP,75.8 mm,6.3 inç,8.3 mm,155 gr,USB Type-C,3950 mAh,64 GB,2019,"2.699,00 TL"
331,6.2 inç,IPS LCD,85.46 %,MediaTek MT6762 Helio P22,2.0 GHz,PowerVR GE8320,3 GB RAM,Android 9.0 (Pie),12 nm,520 MHz,Missing,13 MP,8 Mp,71.8 mm,6.2 inç,8.11 mm,163 gr,USB Type-C,4050 mAh,64 GB,2019,"2.352,00 TL"
332,6.52 inç,IPS LCD,88.0 %,Missing,Missing,Missing,3 GB RAM,Android 10 (Q),Missing,Missing,LPDDR4,13 MP,8 Mp,Missing,6.52 inç,Missing,Missing,Micro-USB,5000 mAh,64 GB,2020,"2.234,40 TL"
333,1.5 inç,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,1.5 inç,Missing,Missing,Missing,Missing,Missing,Missing,"299,00 TL"
334,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,"1.331,82 TL"
335,6.53 inç,IPS LCD,82.77 %,MediaTek MT6771T (Helio P70),2.1 GHz,Mali-G72 MP3,8 GB RAM,Android 9.0 (Pie),12 nm,700 MHz,Missing,48 MP,24 MP,77.6 mm,6.53 inç,8.7 mm,187 gr,USB Type-C,3500 mAh,256 GB,2020,"2.799,00 TL"
336,6.52 inç,IPS LCD,81.8 %,MediaTek MT6765G Helio G35,2.3 GHz,PowerVR GE8320,4 GB RAM,Android 11,12 nm,680 MHz,LPDDR4x,48 MP,8 Mp,76.1 mm,6.52 inç,9.5 mm,Missing,Micro-USB,6000 mAh,64 GB,2021,"2.714,00 TL"
337,1.8 inç,TFT,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,45.5 mm,1.8 inç,14.9 mm,69 gr,Missing,850 mAh,Missing,2011,"270,00 TL"
338,6.55 inç,Fluid AMOLED,87.6 %,Qualcomm SM8350 Snapdragon 888 5G,2.84 GHz,Adreno 660,8 GB RAM,Android 11,5 nm,840 MHz,LPDDR5,50 MP,16 MP,74.2 mm,6.55 inç,8.7 mm,192 gr,USB Type-C,4500 mAh,128 GB,2021,"11.299,00 TL"
339,6.53 inç,IPS LCD,83.4%,Qualcomm SM6115 Snapdragon 662,2.0 GHz,Adreno 610,4 GB RAM,Android 10.0,11 nm,Missing,LPDDR4x,48 MP,8 Mp,77.3 mm,6.53 inç,9.6 mm,198 gr,USB Type-C,6000 mAh,128 GB,2020,"4.211,06 TL"
340,5.4 inç,OLED,85.1 %,Apple A15 Bionic,Missing,Apple Quad-Core,4 GB RAM,iOS 15,5 nm,Missing,LPDDR5,12 MP,12 MP,64.2 mm,5.4 inç,7.7 mm,141 gr,Lightning,2425 mAh,256 GB,2021,"15.199,00 TL"
341,6.53 inç,IPS LCD,83.2 %,Mediatek Helio G80,2.0 GHz,Mali-G52 MC2,4 GB RAM,Android 10.0,12 nm,950 MHz,LPDDR4x,13 MP,8 Mp,77 mm,6.53 inç,9.1 mm,198 gr,USB Type-C,5020 mAh,128 GB,2020,"3.599,00 TL"
